WEEKDAY,PRODID,HOUR,PREDICTED_IMPRESSIONS
Saturday,3,3,513.8333333333334
Saturday,3,4,356.3333333333333
Saturday,3,5,415.0
Saturday,3,6,702.1666666666666
Saturday,3,7,1213.1666666666667
Saturday,3,8,1444.6666666666667
Saturday,3,9,1866.1666666666667
Saturday,3,10,2390.3333333333335
Saturday,3,11,2339.0
Saturday,3,12,2592.1666666666665
Saturday,3,13,2762.3333333333335
Saturday,3,14,2368.0
Saturday,3,15,2436.0
Saturday,3,16,2706.25
Saturday,3,17,2729.8
Saturday,3,18,2264.8
Saturday,3,19,1968.5
Saturday,3,20,1830.8
Saturday,3,21,1656.6
Saturday,3,22,1590.2
Saturday,3,23,1408.2
Sunday,1,0,277.4
Sunday,1,1,198.2
Sunday,1,2,154.4
Sunday,1,3,118.0
Sunday,1,4,87.8
Sunday,1,5,116.2
Sunday,1,6,183.6
Sunday,1,7,296.4
Sunday,1,8,372.8
Sunday,1,9,477.6
Sunday,1,10,541.2
Sunday,1,11,635.0
Sunday,1,12,645.2
Sunday,1,13,668.6
Sunday,1,14,655.0
Sunday,1,15,642.4
Sunday,1,16,609.0
Sunday,1,17,622.2
Sunday,1,18,616.8
Sunday,1,19,502.0
Sunday,1,20,441.8
Sunday,1,21,412.2
Sunday,1,22,397.2
Sunday,1,23,321.4
Sunday,2,0,671.8
Sunday,2,1,508.6
Sunday,2,2,396.2
Sunday,2,3,306.4
Sunday,2,4,229.2
Sunday,2,5,279.0
Sunday,2,6,462.8
Sunday,2,7,698.8
Sunday,2,8,984.6
Sunday,2,9,1184.0
Sunday,2,10,1477.6
Sunday,2,11,1516.0
Sunday,2,12,1641.0
Sunday,2,13,1558.6
Sunday,2,14,1656.2
Sunday,2,15,1582.8
Sunday,2,16,1505.25
Sunday,2,17,1597.4
Sunday,2,18,1450.2
Sunday,2,19,1269.0
Sunday,2,20,1126.6
Sunday,2,21,1018.2
Sunday,2,22,1054.4
Sunday,2,23,880.6
Sunday,3,0,1195.8
Sunday,3,1,814.4
Sunday,3,2,599.4
Sunday,3,3,484.8
Sunday,3,4,386.6
Sunday,3,5,528.6
Sunday,3,6,783.6
Sunday,3,7,1264.0
Sunday,3,8,1642.6
Sunday,3,9,1974.2
Sunday,3,10,2130.8
Sunday,3,11,2421.0
Sunday,3,12,2539.2
Sunday,3,13,2380.0
Sunday,3,14,2712.0
Sunday,3,15,2253.6
Sunday,3,16,2462.5
Sunday,3,17,2534.4
Sunday,3,18,2381.8
Sunday,3,19,1854.0
Sunday,3,20,1559.4
Sunday,3,21,1751.0
Sunday,3,22,1461.6
Sunday,3,23,1340.0
Thursday,1,0,95.66666666666667
Thursday,1,1,67.16666666666667
Thursday,1,2,54.333333333333336
Thursday,1,3,45.833333333333336
Thursday,1,4,58.833333333333336
Thursday,1,5,185.0
Thursday,1,6,308.6666666666667
Thursday,1,7,381.5
Thursday,1,8,370.6666666666667
Thursday,1,9,339.5
Thursday,1,10,306.0
Thursday,1,11,322.1666666666667
Thursday,1,12,355.5
Thursday,1,13,392.3333333333333
Thursday,1,14,397.6
Thursday,1,15,408.0
Thursday,1,16,412.8
Thursday,1,17,436.8
Thursday,1,18,431.0
Thursday,1,19,438.8
Thursday,1,20,417.4
Thursday,1,21,366.0
Thursday,1,22,297.0
Thursday,1,23,177.4
Thursday,2,0,264.3333333333333
Thursday,2,1,174.66666666666666
Thursday,2,2,122.83333333333333
Thursday,2,3,109.5
Thursday,2,4,155.0
Thursday,2,5,437.6666666666667
Thursday,2,6,751.8333333333334
Thursday,2,7,884.3333333333334
Thursday,2,8,901.3333333333334
Thursday,2,9,842.0
Thursday,2,10,734.6666666666666
